id;marque;description;prix;note;avis;nombre_acheteurs;stock_disponible;screen_size;os;ram;processor;storage
114;HP;HP PC Portable 15-fc0043nf - Processeur Ryzen 3 7320U - Mémoire 8 Go LPDDR5 - Disque Dur SSD 512 Go - Carte Graphique intégrée AMD Radeon - Windows 11 Home - Ecran 15.6 FHD ultraslim;379;4;3;1058;161;;Windows 11;8.0;;512 Go SSD
115;;Auusda Ordinateur Portable 15.6 Pouces, 32 Go de RAM DDR4 1 to SSD,Celeron N95(jusqu'à 3,40 GHz),avec déverrouillage des Empreintes digitales, Webcam, 1920 x 1080 IPS,Pc Portable Pas Cher-Rose;459;4;51;510;475;15.6;;32.0;;
116;Dell;"Dell Latitude 5511 Ordinateur portable FHD 15,6"" Intel i7-10850H 10e génération (6 cœurs), 16 Go DDR4 RAM 512 Go PCIe SSD, Type C, HDMI, Win 10 Pro (reconditionné)";419;0;0;676;392;;;16.0;Intel i7-10850H;512 Go SSD
117;MSI;MSI Katana 17 B13VFK-1413FR : Intel Core i7 13620H - 32GB DDR5 - SSD 1TB - Nvidia RTX4060 8GB - 17,3' Full HD 144Hz - Windows 11 Professionnel;1499;3;14;349;33;;Windows 11;;Intel Core i7 13620H;1024 Go SSD
118;Asus;Asus TUF Gaming A17-TUF707NUR-HX004W, 17.3 Pouces FHD 144Hz PC Portable (AMD Ryzen 7 7435HS 4.5 GHz, 16GB DDR5 4800Mhz, 512GB SSD, NVIDIA GeForce RTX 4050 TGP 140W, Windows 11 Home) – Clavier AZERTY;979;4;22;1018;494;17.3;Windows 11;;AMD Ryzen 7 7435HS;512 Go SSD
119;HP;HP Ordinateur Portable Nouveau MODÈLE 2022 G9 PC Portable Intel n 4500 16 Go Ram SSD PCI Nvme 500 Go 15,6 écran antireflet 3 USB hdmi LAN wi-FI Win 11 Pro, N4500 Open Office;386;4;303;1142;368;;;16.0;;
120;AOC;AOC 2024 Gaming Ordinateur Portable Boîtier en Métal et Rétroéclairé, AMD Ryzen 7 5825U(8C/16T, jusqu'à 4,50 GHz,15W) PC Portable Gamer 16,10 Pouces,16Go DDR4 512Go M.2 SSD,WiFi 6,BT5.2,HDMI,Type C;443;4;182;1158;359;16.1;;16.0;AMD Ryzen 7 5825U;512 Go SSD
121;;WIMAXIT Moniteur Portable Tactile 15,6 Pouces avec Image Flip Haut-Parleurs Doubles,Full HD 1920 x 1080, VESA 75 mm, Connectique HDMI/USB-C - Idéal pour Ordinateurs Portables, Xbox et Smartphones;189;4;83;861;189;15.6;;;;
122;;Greed® Multimedia V2 PC avec Intel Core i7 10700 - Ordinateur Rapide + Ordinateur de Bureau à Domicile avec 4,8 GHz, 16 Go RAM - 512 Go SSD - DVD+RW - USB3.1 - Wi-FI, avec Windows 11 Pro;629;3;701;732;371;;Windows 11;16.0;Intel Core i7 10700;512 Go SSD
123;AOC;AOC Ordinateur Portable, Boîtier Métallique d'un PC Portable, 15,6 Pouces FHD 16 Go de DDR4 512 Go de SSD, in-tel Quad-Core N97 (6M Cache, Jusqu'à 3,60 GHz), Wi-FI, BT5.0, USB 3,2, Type C, HDMI;349;4;182;978;285;15.6;;16.0;;512 Go SSD
124;;GREED® Intel Core i7 4790 Ultra PC - Ordinateur Rapide pour Le Bureau et Le Home Office - Ordinateur avec 4,0 GHZ - 32 GB RAM - 1TB SSD + 1TB HDD - DVD - USB 3.0 - WLAN - INCL. Windows 11 Pro;699;3;619;1194;312;;Windows 11;;Intel Core i7 4790;1024 Go SSD
125;;"NIAKUN Ordinateur Portable, 16"" Pc Portable RAM 16GB+SSD 1TB, N100 Processor Laptop, Up to 3.4 GHz Full HD 1920x1200P, Notebook à Clavier rétroéclairé, 6000 mAh";439;4;170;133;203;;;16.0;;1024 Go SSD
126;Lenovo;"Lenovo ThinkPad T490 | i5-8265U | 14"" | 16 Go | 256 Go | HD | Webcam | Win 11 Pro (reconditionné)";300;3;32;1185;83;;;16.0;;
127;ACER;ACER Chromebook 315 CB315-4H-C0JA, Ordinateur Portable 15,6'' Full HD, PC Portable (Intel Core i3-1215U, RAM 8Go, 128Go eMMC, Intel UHD Graphics, Chrome OS), Laptop Gris, Clavier AZERTY;269;0;0;1226;306;;Chrome OS;8.0;Intel Core i3-1215U;128 Go eMMC
128;HP;"HP Victus Gaming 15-fa1010sf 15.6"" 1920 x 1080 Pixels Intel Core i5-12450H 16 GB 512 GB SSD NVIDIA GeForce RTX 2050 Windows 11 Home";679;4;51;1075;279;;Windows 11;;Intel Core i5-12450H;512 Go SSD
129;Asus;Asus Zenbook 14 UM3406HA-QD048W OLED 14 WUXGA PC Portable (AMD Ryzen 7 8840HS 5.1Ghz, 16 Go RAM DDR5X, 512 Go SSD, AMD Radeon Graphics, Windows 11 Home) - Clavier AZERTY - Noir;1019;4;11;195;479;;Windows 11;16.0;AMD Ryzen 7 8840HS;512 Go SSD
130;;"bvate Ordinateur Portable 256 Go 14"" Win 11 N4020 Support Expansion 1 to SSD 1080P 2.4G+5G WiFi Mini HDMI & Souris sans Fil et Un Film de Clavier AZERTY pour Clavier - Bleu";216;4;76;454;53;;;;;256 Go SSD
131;;G Ordinateur portable, Ordinateur Portable Windows 11, 8 Go + 128 go, Processeur Intel Dual Core - core, Ordinateur Portable 10 pouces, Webcam Bluetooth Wifi HDMI, et sac Pour Ordinateur Portable;229;4;8;185;334;10.0;Windows 11;8.0;;
132;ASUS;"ASUS Chromebook Plus CX3402CBA-MW0420 avec Google AI - Ordinateur Portable Tactile 14"" Full HD (Intel Core i5, RAM 8 Go, 512 Go, ChromeOS) - Clavier AZERTY FR - Gris";649;4;121;863;9;;Chrome OS;8.0;Intel Core i5;
133;Dell;"Dell Inspiron 14 2-in-1 7440 Ordinateur Portable 14"" 16:10 FHD+ (1920 x 1200), Processeur Intel Core 5 120U, Graphique Intel, RAM 16Go, SSD 1TB, Windows 11 Home, Clavier rétroéclairé AZERTY Français";849;4;15;858;45;;Windows 11;16.0;;1024 Go SSD
134;Asus;Asus Vivobook S16 Copilot+ PC AI-S5606-50W 16 Pouces 3.2K OLED 120Hz Portable (Processeur AMD Ryzen AI 9 365 5 Ghz, 32GB LPDDR5X, SSD1To, AMD Radeon 880M Graphics, Windows 11 Home) – Clavier AZERTY;1349;4;7;202;199;16.0;Windows 11;;;
135;ACEMAGIC;ACEMAGIC Ordinateur Portable 15,6 Pouces FHD Boîtier Métallique 16 Go DDR4 512 Go SSD,Étendre à 2 to,in-tel Quad-Core N97(Jusqu'à 3,6 GHz) UHD Graphic Wi-FI,BT5.0,HDMI,Gris;289;4;216;1139;358;15.6;;16.0;;512 Go SSD
136;Lenovo;Lenovo ThinkPad T470 Ordinateur Portable 14pouces (processeur Intel Core i5-6200U, 8 Go de RAM, 256 Go SDD, Intel HD 520 Graphics, Windows 10 Pro) (renouvelé) Noir (Reconditionné);184;3;50;784;194;14.0;Windows 10;8.0;Intel Core i5-6200U;256 Go SSD
137;;HOU iPad Air 11 Pouces 2024 Clavier（M2） iPad Air 5ème & 4ème génération étui Clavier pour iPad Pro 11 Pouces (4ème / 3ème / 2ème / 1er) Gen,Trackpad Multi-Touch,Magic-Stand Keyboard Case,AZERTY,Blanc;119;3;1;403;396;11.0;;;;
